"pid","datasetInfo","nModules","nMetrics","nCorrelatedMetrics","nMitigatedMetrics","DefectiveRatio","EPV","lrAUC","rfAUC","datasetCriterion2","datasetCriterion3AUC","datasetCriterion3DefectiveRatio","datasetCriterion3EPV"
1,"JM1",7782,21,16,5,21.485479311231,79.6190476190476,0.675146393621192,0.688303253425562,TRUE,FALSE,TRUE,TRUE
2,"KC3",194,39,28,11,18.5567010309278,0.923076923076923,0.641212504595337,0.716054610173719,TRUE,FALSE,TRUE,FALSE
3,"MC1",1988,38,27,11,2.31388329979879,1.21052631578947,0.657820515698083,0.842874232312188,FALSE,FALSE,TRUE,FALSE
4,"MC2",125,39,29,10,35.2,1.12820512820513,0.625476843681986,0.698042220507335,TRUE,FALSE,TRUE,FALSE
5,"MW1",253,37,26,11,10.6719367588933,0.72972972972973,0.606078857592245,0.688785544797869,TRUE,FALSE,TRUE,FALSE
6,"PC1",705,37,27,10,8.65248226950355,1.64864864864865,0.789367271187656,0.847939568967205,FALSE,TRUE,TRUE,FALSE
7,"PC2",745,36,27,9,2.14765100671141,0.444444444444444,0.635062073712395,0.737163263207314,TRUE,FALSE,TRUE,FALSE
8,"PC3",1077,37,26,11,12.4419684308264,3.62162162162162,0.796372593531788,0.810483524056588,FALSE,TRUE,TRUE,TRUE
9,"PC4",1287,37,26,11,13.7529137529138,4.78378378378378,0.891308131703449,0.924751612955953,FALSE,TRUE,TRUE,TRUE
10,"PC5",1711,38,27,11,27.5277615429573,12.3947368421053,0.733901087160573,0.781740800660265,TRUE,TRUE,TRUE,TRUE
11,"ar1",121,29,22,7,7.43801652892562,0.310344827586207,-1,-1,TRUE,FALSE,TRUE,FALSE
12,"ar3",63,29,24,5,12.6984126984127,0.275862068965517,-1,-1,FALSE,FALSE,TRUE,FALSE
13,"ar4",107,29,23,6,18.6915887850467,0.689655172413793,0.637812539844488,0.803396544975469,TRUE,FALSE,TRUE,FALSE
14,"ar5",36,29,25,4,22.2222222222222,0.275862068965517,-1,-1,TRUE,FALSE,TRUE,FALSE
15,"ar6",101,29,23,6,14.8514851485149,0.517241379310345,0.58228866930858,0.63572124788487,TRUE,FALSE,TRUE,FALSE
16,"cm1",327,37,31,6,12.8440366972477,1.13513513513514,0.65147343591337,0.684569778672674,TRUE,FALSE,TRUE,FALSE
17,"kc2",522,21,16,5,20.4980842911877,5.09523809523809,0.801207453310638,0.827600724833258,TRUE,TRUE,TRUE,TRUE
18,"ant-1.3",125,20,10,10,16,1,0.634590369829908,0.764430862413475,TRUE,FALSE,TRUE,FALSE
19,"ant-1.4",178,20,11,9,22.4719101123595,2,0.647273204629308,0.663829886324356,FALSE,FALSE,TRUE,FALSE
20,"ant-1.5",293,20,11,9,10.9215017064846,1.6,0.751051516133015,0.777488782981478,TRUE,TRUE,TRUE,FALSE
21,"ant-1.6",351,20,10,10,26.2108262108262,4.6,0.791056647504002,0.833009783721005,TRUE,TRUE,TRUE,TRUE
22,"ant-1.7",745,20,11,9,22.2818791946309,8.3,0.79548906655348,0.825037279429476,TRUE,TRUE,TRUE,TRUE
23,"arc",234,20,12,8,11.5384615384615,1.35,0.673897653429335,0.661040421960642,TRUE,FALSE,TRUE,FALSE
24,"berek",43,20,16,4,37.2093023255814,0.8,0.7126640419814,0.954846481058753,TRUE,TRUE,TRUE,FALSE
25,"camel-1.0",339,20,12,8,3.83480825958702,0.65,-1,-1,TRUE,FALSE,TRUE,FALSE
26,"camel-1.2",608,20,12,8,35.5263157894737,10.8,0.631645792362212,0.67007989619903,TRUE,FALSE,TRUE,TRUE
27,"camel-1.4",872,20,12,8,16.6284403669725,7.25,0.702308173549912,0.709886304076537,TRUE,TRUE,TRUE,TRUE
28,"camel-1.6",965,20,13,7,19.4818652849741,9.4,0.694909207691669,0.711549648465995,FALSE,FALSE,TRUE,TRUE
29,"ckjm",10,20,20,0,50,0.25,-1,-1,TRUE,FALSE,FALSE,FALSE
30,"e-learning",64,20,15,5,7.8125,0.25,-1,-1,TRUE,FALSE,TRUE,FALSE
31,"forrest-0.6",6,20,18,2,16.6666666666667,0.05,-1,-1,TRUE,FALSE,TRUE,FALSE
32,"forrest-0.7",29,20,20,0,17.2413793103448,0.25,-1,-1,TRUE,FALSE,TRUE,FALSE
33,"forrest-0.8",32,20,16,4,6.25,0.1,-1,-1,TRUE,FALSE,TRUE,FALSE
34,"intercafe",27,20,18,2,14.8148148148148,0.2,-1,-1,TRUE,FALSE,TRUE,FALSE
35,"ivy-1.1",111,20,12,8,56.7567567567568,3.15,0.67988126260686,0.720276905778995,TRUE,FALSE,FALSE,TRUE
36,"ivy-1.4",241,20,14,6,6.63900414937759,0.8,0.579366910257784,0.666346933785632,TRUE,FALSE,TRUE,FALSE
37,"ivy-2.0",352,20,12,8,11.3636363636364,2,0.708758193628634,0.781160669300392,TRUE,TRUE,TRUE,FALSE
38,"jedit-3.2",272,20,12,8,33.0882352941176,4.5,0.817627210837412,0.835964872943251,TRUE,TRUE,TRUE,TRUE
39,"jedit-4.0",306,20,11,9,24.5098039215686,3.75,0.755700234330564,0.799572403250337,TRUE,TRUE,TRUE,TRUE
40,"jedit-4.1",312,20,11,9,25.3205128205128,3.95,0.802627572548005,0.809553113409442,TRUE,TRUE,TRUE,TRUE
41,"jedit-4.2",367,20,9,11,13.0790190735695,2.4,0.793255059871042,0.825070652026173,TRUE,TRUE,TRUE,FALSE
42,"jedit-4.3",492,20,15,5,2.23577235772358,0.55,0.643742488997361,0.724940556163551,FALSE,FALSE,TRUE,FALSE
43,"kalkulator",27,20,16,4,22.2222222222222,0.3,-1,-1,FALSE,FALSE,TRUE,FALSE
44,"log4j-1.0",135,20,12,8,25.1851851851852,1.7,0.715200152127377,0.786091297379539,TRUE,TRUE,TRUE,FALSE
45,"log4j-1.1",109,20,13,7,33.9449541284404,1.85,0.744972945926825,0.808053424302868,TRUE,TRUE,TRUE,FALSE
46,"log4j-1.2",205,20,9,11,92.1951219512195,9.45,0.68313090000525,0.772434671358652,TRUE,FALSE,FALSE,TRUE
47,"lucene-2.0",195,20,10,10,46.6666666666667,4.55,0.724591116398666,0.740490358372262,TRUE,TRUE,TRUE,TRUE
48,"lucene-2.2",247,20,11,9,58.2995951417004,7.2,0.600583995262377,0.658798773923588,TRUE,FALSE,FALSE,TRUE
49,"lucene-2.4",340,20,9,11,59.7058823529412,10.15,0.74478727994278,0.773439090331139,TRUE,TRUE,FALSE,TRUE
50,"nieruchomosci",27,20,20,0,37.037037037037,0.5,0.660426091269841,0.844025992063492,FALSE,FALSE,TRUE,FALSE
51,"pbeans1",26,20,13,7,76.9230769230769,1,-1,-1,FALSE,FALSE,FALSE,FALSE
52,"pbeans2",51,20,13,7,19.6078431372549,0.5,-1,-1,TRUE,FALSE,TRUE,FALSE
53,"pdftranslator",33,20,18,2,45.4545454545455,0.75,0.618813227513228,0.935157804232804,TRUE,FALSE,TRUE,FALSE
54,"poi-1.5",237,20,13,7,59.4936708860759,7.05,0.705159920727113,0.774241755245392,TRUE,TRUE,FALSE,TRUE
55,"poi-2.0",314,20,10,10,11.7834394904459,1.85,0.625447228557118,0.785037037058554,TRUE,FALSE,TRUE,FALSE
56,"poi-2.5",385,20,11,9,64.4155844155844,12.4,0.802133961366974,0.901702391355426,TRUE,TRUE,FALSE,TRUE
57,"poi-3.0",442,20,10,10,63.5746606334842,14.05,0.787913841829971,0.883448352511177,TRUE,TRUE,FALSE,TRUE
58,"prop-1",18471,20,10,10,14.8232364246657,136.9,0.745453251047994,0.792659089124164,TRUE,TRUE,TRUE,TRUE
59,"prop-2",23014,20,8,12,10.5631354827496,121.55,0.710925145519363,0.8171730013517,FALSE,TRUE,TRUE,TRUE
60,"prop-3",10274,20,9,11,11.4853027058595,59,0.691774099414907,0.670804677734411,TRUE,FALSE,TRUE,TRUE
61,"prop-4",8718,20,11,9,9.63523743977977,42,0.739967257767291,0.715018345773399,TRUE,TRUE,TRUE,TRUE
62,"prop-5",8516,20,8,12,15.2536402066698,64.95,0.702756845776346,0.714702377473363,FALSE,TRUE,TRUE,TRUE
63,"prop-6",660,20,13,7,10,3.3,0.670716216710457,0.704328902941326,TRUE,FALSE,TRUE,TRUE
64,"redaktor",176,20,10,10,15.3409090909091,1.35,0.753467905731866,0.749689441245795,TRUE,TRUE,TRUE,FALSE
65,"serapion",45,20,18,2,20,0.45,0.647381119074424,0.844636572217987,TRUE,FALSE,TRUE,FALSE
66,"skarbonka",45,20,14,6,20,0.45,-1,-1,TRUE,FALSE,TRUE,FALSE
67,"sklebagd",20,20,19,1,60,0.6,-1,-1,TRUE,FALSE,FALSE,FALSE
68,"synapse-1.0",157,20,12,8,10.1910828025478,0.8,-1,-1,TRUE,FALSE,TRUE,FALSE
69,"synapse-1.1",222,20,10,10,27.027027027027,3,0.711886200180926,0.768891831064657,TRUE,TRUE,TRUE,FALSE
70,"synapse-1.2",256,20,13,7,33.59375,4.3,0.728029090440487,0.81218163182829,TRUE,TRUE,TRUE,TRUE
71,"systemdata",65,20,18,2,13.8461538461538,0.45,-1,-1,TRUE,FALSE,TRUE,FALSE
72,"szybkafucha",25,20,20,0,56,0.7,0.632142658730159,0.757678273809524,TRUE,FALSE,FALSE,FALSE
73,"termoproject",42,20,19,1,30.952380952381,0.65,0.663644560031018,0.839526065601066,TRUE,FALSE,TRUE,FALSE
74,"tomcat",858,20,13,7,8.97435897435897,3.85,0.783309069540833,0.815671952739093,TRUE,TRUE,TRUE,TRUE
75,"velocity-1.4",196,20,12,8,75,7.35,0.731023930110145,0.863279077119495,FALSE,TRUE,FALSE,TRUE
76,"velocity-1.5",214,20,11,9,66.3551401869159,7.1,0.718630165489859,0.825384169074474,TRUE,TRUE,FALSE,TRUE
77,"velocity-1.6",229,20,10,10,34.061135371179,3.9,0.74156479582291,0.781993275242225,FALSE,TRUE,TRUE,TRUE
78,"workflow",39,20,13,7,51.2820512820513,1,0.670032702807554,0.694674889555991,TRUE,FALSE,FALSE,FALSE
79,"wspomaganiepi",18,20,20,0,66.6666666666667,0.6,-1,-1,TRUE,FALSE,FALSE,FALSE
80,"xalan-2.4",723,20,12,8,15.2143845089903,5.5,0.757347956722481,0.804679866287818,TRUE,TRUE,TRUE,TRUE
81,"xalan-2.5",803,20,10,10,48.1942714819427,19.35,0.658424217981595,0.761686719967944,TRUE,FALSE,TRUE,TRUE
82,"xalan-2.6",885,20,8,12,46.4406779661017,20.55,0.794087317721809,0.85350121287512,TRUE,TRUE,TRUE,TRUE
83,"xalan-2.7",909,20,14,6,98.7898789878988,44.9,0.568355475240478,0.896267667848748,FALSE,FALSE,FALSE,TRUE
84,"xerces-1.2",440,20,10,10,16.1363636363636,3.55,0.616936746978799,0.773255234642766,FALSE,FALSE,TRUE,TRUE
85,"xerces-1.3",453,20,11,9,15.2317880794702,3.45,0.763517042356116,0.843057627781404,TRUE,TRUE,TRUE,TRUE
86,"xerces-1.4",588,20,11,9,74.3197278911565,21.85,0.912875362726056,0.953668738569033,TRUE,TRUE,FALSE,TRUE
87,"xerces-init",162,20,8,12,47.5308641975309,3.85,0.685745304206694,0.810515224609094,TRUE,FALSE,TRUE,TRUE
88,"zuzel",29,20,15,5,44.8275862068966,0.65,-1,-1,TRUE,FALSE,TRUE,FALSE
89,"eclipse-2.0",6729,32,24,8,14.489522960321,30.46875,0.818449109647571,0.842237541310607,TRUE,TRUE,TRUE,TRUE
90,"eclipse-2.1",7888,32,24,8,10.8265720081136,26.6875,0.771380625746094,0.780439232985821,FALSE,TRUE,TRUE,TRUE
91,"eclipse-3.0",10593,32,24,8,14.80222788634,49,0.788336632272264,0.806844950254062,TRUE,TRUE,TRUE,TRUE
92,"Apache",194,26,22,4,50.5154639175258,3.76923076923077,0.718760233213512,0.759258246778152,TRUE,TRUE,FALSE,TRUE
93,"Safe",56,26,19,7,39.2857142857143,0.846153846153846,0.621684003786052,0.845757995297964,TRUE,FALSE,TRUE,FALSE
94,"Zxing",399,26,20,6,29.5739348370927,4.53846153846154,0.602926165004625,0.696378893734271,TRUE,FALSE,TRUE,TRUE
95,"eclipse34_debug",1065,17,9,8,24.6948356807512,15.4705882352941,0.721798047600186,0.806637748095827,TRUE,TRUE,TRUE,TRUE
96,"eclipse34_swt",1485,17,7,10,43.973063973064,38.4117647058824,0.870884828924328,0.970448349739748,TRUE,TRUE,TRUE,TRUE
97,"equinox",324,15,12,3,39.8148148148148,8.6,0.798684665805058,0.816443288021739,TRUE,TRUE,TRUE,TRUE
98,"jdt",997,15,10,5,20.6619859578736,13.7333333333333,0.812729092911212,0.816997443746307,TRUE,TRUE,TRUE,TRUE
99,"lucene",691,15,10,5,9.26193921852388,4.26666666666667,0.76555055217352,0.801230305273212,TRUE,TRUE,TRUE,TRUE
100,"mylyn",1862,15,10,5,13.1578947368421,16.3333333333333,0.775574031174603,0.739242679330043,TRUE,TRUE,TRUE,TRUE
101,"pde",1497,15,9,6,13.9612558450234,13.9333333333333,0.716624589374945,0.723008098093258,TRUE,TRUE,TRUE,TRUE
